uuid,title,content,spanish_title,spanish_content,english_page,spanish_page
97d5b474-88af-4b93-8910-ae0f32898e89,For the Ordination of Priests,"Almighty God, giver of all good things, by your Holy Spirit you have appointed...",Ordenación de un Sacerdote,"Dios Todopoderoso, dador de todos los bienes, por tu Espíritu Santo has designado...",486,486
3e674af5-415d-4c29-a4cb-a93c60336817,At the Conclusion of the Ash Wednesday Liturgy,"O Lord our God, grant us grace to desire you with our whole heart...",Miércoles de Ceniza (Oración),"Señor Dios nuestro, concédenos la gracia de desearte con todo nuestro corazón...",551,551
addfb120-677b-483d-9dbc-9ba76ee2b180,For a Home of Blessing and Peace in Marriage,"Grant that they may so love, honor, and cherish each other in faithfulness...",Santo Matrimonio (Oración),"Concédeles que se amen, se honren y uno al otro se respete con fidelidad...",208,208
b078acf9-9e63-496f-aa96-11a16029b3a2,For the Ordination and Consecration of Bishops,"Almighty God, who by your Son Jesus Christ gave many excellent gifts...",Ordenación de un Obispo,"Dios todopoderoso, que por tu Hijo Jesucristo diste muchos dones excelentes...",500,500
b3ebf9bc-90fe-4328-95d4-115d993035ee,Solemn Collect for the Clergy,"Let us pray for all Bishops... Almighty and everlasting God, by whose Spirit...",Colectas Solemnes (Viernes Santo),"Oremos por todos los Obispos... Dios todopoderoso y eterno, por cuyo Espíritu...",568,568
b9e07dd0-3def-4a48-84a3-faf8ede778d9,Prayer at the Laying on of Hands,"Almighty and everliving God, we beseech you to strengthen these your servants...",Confirmación (Oración),"Dios todopoderoso y eterno, te suplicamos que fortalezcas a estos tus siervos...",178,178
b923b3e3-bcd1-4caf-8b74-ec28cb9aa543,Blessing of the Pulpit,"Father, in every age you have spoken through the voices of prophets...",Consagración (El Púlpito),"Padre, en cada época has hablado por medio de las voces de los profetas...",530,530
c395bff9-88b6-44ad-ac2b-fbe962ac6dc9,Blessing of the Lectern,"Father, your eternal Word speaks to us through the words of Holy Scripture.",Consagración (El Atril),"Padre, tu Palabra eterna nos habla a través de las palabras de la Sagrada Escritura.",530,530
c410f4c3-7028-4164-bb2b-613b196cbf31,Concluding Collect for the Consecration of a Place of Worship,"Blessed be your Name, O Lord God, for it pleases you to have your habitation...",Consagración (Oración Final),"Bendito sea tu Nombre, oh Señor Dios, porque te agrada tener tu habitación entre tu pueblo...",536,536
c5175ba8-45b7-47bd-a38b-3f2654bce42d,At Compline,"Visit this place, O Lord, and drive far from it all snares of the enemy...",Completas (Oración),"Visita este lugar, oh Señor, y aleja de él todos los engaños del enemigo...",63,63
d9dda75f-5ea7-417f-bb5a-ac3d462c8995,Blessing of Instruments and Bells,"Father, your people worship you with many voices and sounds...",Consagración (Instrumentos),"Padre, tu gente te adora con muchas voces y sonidos...",528,528
d59cc86e-7257-402f-a981-46d3b9db238a,Confession of Sin (Compline),"Almighty God and Father, we confess to you, to one another...",Completas (Confesión),"Dios Todopoderoso y Padre, te confesamos, unos a otros...",57,57
d60fcb01-3eb8-449d-8e9f-830e76cd63dd,Post-Communion Prayer at a Marriage,"O God, the giver of all that is true and lovely and gracious...",Santo Matrimonio (Poscomunión),"Oh Dios, dador de todo lo que es verdadero, agradable y misericordioso...",210,210
dd9dd590-0823-4e11-b556-5e4fd026437f,Prayer for the Whole State of Christ's Church: Conclusion,"Heavenly Father, grant these our prayers for the sake of Jesus Christ...",Oración de los Fieles (Conclusión),"Padre Celestial, concédenos estas oraciones nuestras por amor a Jesucristo...",112,112
dbcb1459-ec6c-487a-a416-8035ff4d3ad8,For the Baptized,Grant that all who have been baptized into Christ's death and resurrection...,Sepultura (Oración de los Fieles),Concede que todos los que han sido bautizados en la muerte y resurrección de Cristo...,253,253
e5b0168c-c6d6-40f3-a670-45c5676eb10b,For the Whole Communion of Saints,"Almighty God, you knit together your elect in one communion and fellowship...",Sepultura (Oración de los Fieles),"Dios Todopoderoso, Tú unes a tus elegidos en una comunión y fraternidad...",253,253
f20cf208-669c-4db4-a9dc-7733f94a0f24,Prayer for the Whole State of Christ's Church: for Those Who Proclaim the Gospel,"Prosper, we pray, all those who proclaim the Gospel of your kingdom...",Oración de los Fieles (Eucaristía),Te pedimos que hagas prosperar a todos los que proclaman el Evangelio de tu reino...,111,111
f38fd09f-c6c0-429a-b83e-e905f7a397b2,Thanksgiving for a Safe Childbirth,"Almighty God, we give you humble thanks for graciously preserving...",Acción de Gracias (Nacimiento),"Dios Todopoderoso, te damos humildes gracias por haber preservado bondadosamente...",218,218
f68f9b5d-1a10-4ccc-ac4b-d3de257fa100,Abraham's Sacrifice of Issac,"Almighty God, whose servant Abraham faithfully obeyed your call...",Vigilia Pascual (Oración),"Dios Todopoderoso, cuyo siervo Abraham obedeció fielmente tu llamado...",587,587
f8425891-a6aa-44d5-ac45-431d55b8d779,Solemn Collect for Those Preparing for Holy Baptism,Let us pray for those who are preparing for Holy Baptism...,Colectas Solemnes (Viernes Santo),Oremos por los que se preparan para el Santo Bautismo...,568,568
fdd0900c-ad69-4319-9f19-a8b31d05b1ed,For Pardon and Peace,"Grant to your faithful people pardon and peace, that we may be cleansed...",Sepultura (Oración de los Fieles),"Concede a tu pueblo fiel perdón y paz, para que seamos limpios de todos nuestros pecados...",254,254
f31faa04-971b-4637-8d2c-ef98257249eb,Collect of the Day for the Consecration of a Place of Worship,O God of unchangeable power and eternal light: Look favorably on your whole Church...,Consagración (Colecta del Día),Oh Dios de poder inmutable y luz eterna: Mira favorablemente a toda tu Iglesia...,532,532
61ddc74f-2c43-4fbc-9e1f-b52d7c87acdb,The Collect of the Day for Marriage,"O gracious and everliving God, you have created us male and female...",Santo Matrimonio (Colecta),"Oh Dios misericordioso y eterno, tú que nos has creado varón y hembra...",204,204
